GraphDev__Qwen3-4B__default avg_score=0.2283
GraphDev__Qwen3-4B__greedy avg_score=0.2050
GraphDev__Qwen3-4B__temp_0_25 avg_score=0.2117
GraphDev__Qwen3-4B__temp_1_5 avg_score=0.2233
GraphDev__Qwen3-4B__beam_3 avg_score=0.1917
GraphDev__Qwen3-4B__beam_25 avg_score=0.1517
GraphDev__Qwen3-4B__typical avg_score=0.2050
GraphDev__Qwen3-4B-Instruct-2507__default avg_score=0.1933
GraphDev__Qwen3-4B-Instruct-2507__greedy avg_score=0.2383
GraphDev__Qwen3-4B-Instruct-2507__temp_0_25 avg_score=0.2183
GraphDev__Qwen3-4B-Instruct-2507__temp_1_5 avg_score=0.2317
GraphDev__Qwen3-4B-Instruct-2507__beam_3 avg_score=0.2050
GraphDev__Qwen3-4B-Instruct-2507__beam_25 avg_score=0.2050
GraphDev__Qwen3-4B-Instruct-2507__typical avg_score=0.1933
GraphDev__Qwen3-1.7B__default avg_score=0.0883
GraphDev__Qwen3-1.7B__greedy avg_score=0.0883
GraphDev__Qwen3-1.7B__temp_0_25 avg_score=0.0917
GraphDev__Qwen3-1.7B__temp_1_5 avg_score=0.0917
GraphDev__Qwen3-1.7B__beam_3 avg_score=0.0917
GraphDev__Qwen3-1.7B__beam_25 avg_score=0.0917
GraphDev__Qwen3-1.7B__typical avg_score=0.0883
