InfoBench__Qwen3-4B__default avg_score=0.7638
InfoBench__Qwen3-4B__greedy avg_score=0.7882
InfoBench__Qwen3-4B__temp_0_25 avg_score=0.7744
InfoBench__Qwen3-4B__temp_1_5 avg_score=0.7607
InfoBench__Qwen3-4B__beam_3 avg_score=0.7613
InfoBench__Qwen3-4B__beam_25 avg_score=0.7819
InfoBench__Qwen3-4B__typical avg_score=0.7740
InfoBench__Qwen3-4B-Instruct-2507__default avg_score=0.7779
InfoBench__Qwen3-4B-Instruct-2507__greedy avg_score=0.7514
InfoBench__Qwen3-4B-Instruct-2507__temp_0_25 avg_score=0.7526
InfoBench__Qwen3-4B-Instruct-2507__temp_1_5 avg_score=0.7554
InfoBench__Qwen3-4B-Instruct-2507__beam_3 avg_score=0.7751
InfoBench__Qwen3-4B-Instruct-2507__beam_25 avg_score=0.7680
InfoBench__Qwen3-4B-Instruct-2507__typical avg_score=0.7463
InfoBench__Qwen3-1.7B__default avg_score=0.6997
InfoBench__Qwen3-1.7B__greedy avg_score=0.7418
InfoBench__Qwen3-1.7B__temp_0_25 avg_score=0.7374
InfoBench__Qwen3-1.7B__temp_1_5 avg_score=0.7146
InfoBench__Qwen3-1.7B__beam_3 avg_score=0.7468
InfoBench__Qwen3-1.7B__beam_25 avg_score=0.7383
InfoBench__Qwen3-1.7B__typical avg_score=0.7239
